date,on_num,off_num,total
20210521,6854347,6832887,13687234
20210522,4879429,4856503,9735932
20210523,3419331,3400220,6819551
20210524,6641865,6621416,13263281
20210525,6668434,6649041,13317475
20210526,6831200,6811345,13642545
20210527,6523613,6503967,13027580
20210528,6705624,6687254,13392878
20210529,4665973,4645735,9311708
20210530,3444592,3424628,6869220
20210531,6472583,6455376,12927959
20210601,6585184,6565425,13150609
20210602,6666237,6644882,13311119
20210603,6425204,6405507,12830711
20210604,6967783,6947141,13914924
20210605,4764571,4741234,9505805
20210606,3336643,3318410,6655053
20210607,6463999,6446004,12910003
20210608,6621696,6602973,13224669
20210609,6653343,6633550,13286893
20210610,6655994,6635565,13291559
20210611,6678928,6658936,13337864
20210612,4598198,4577883,9176081
20210613,3259268,3240781,6500049
20210614,6516407,6497773,13014180
20210615,6528382,6510140,13038522
20210616,6755019,6735032,13490051
20210617,6712810,6690178,13402988
20210618,6775221,6756666,13531887
20210619,4832421,4810884,9643305
20210620,3415926,3396733,6812659
20210621,6707485,6687697,13395182
20210622,6787145,6766922,13554067
20210623,6788156,6767695,13555851
20210624,6864714,6841437,13706151
20210625,7103159,7080155,14183314
20210626,4656405,4635961,9292366
20210627,3461015,3440594,6901609
20210628,6584734,6565603,13150337
20210629,6762163,6741173,13503336
20210630,6737746,6717277,13455023
20210701,6779552,6758259,13537811
20210702,7017089,6992015,14009104
20210703,4366713,4343312,8710025
20210704,2896023,2879537,5775560
20210705,6688907,6667883,13356790
20210706,6795107,6773179,13568286
20210707,6560203,6539368,13099571
20210708,6353176,6333850,12687026
20210709,6421539,6402296,12823835
20210710,3830996,3814152,7645148
20210711,2623786,2610226,5234012
20210712,5729254,5711812,11441066
20210713,5726113,5709616,11435729
20210714,5672476,5656105,11328581
20210715,5584746,5567809,11152555
20210716,5715864,5697986,11413850
20210717,3486029,3469620,6955649
20210718,2465051,2452253,4917304
20210719,5613088,5596213,11209301
20210720,5714301,5697930,11412231
20210721,5642119,5625415,11267534
20210722,5573464,5556501,11129965
20210723,5731060,5712674,11443734
20210724,3473325,3457067,6930392
20210725,2420437,2407302,4827739
20210726,5580229,5562675,11142904
20210727,5593883,5577147,11171030
20210728,5569642,5552971,11122613
20210729,5516631,5499607,11016238
20210730,5632486,5615478,11247964
20210731,3420215,3405347,6825562
